accuracy,rocauc,balancedaccuracy,f1,recall,geometricmean
0.6368715083798883,0.7739087301587302,0.6280753968253968,0.4383561643835617,0.45714285714285713,0.6111559283236253
0.6388888888888888,0.7742857142857144,0.629399852724595,0.4383561643835617,0.45714285714285713,0.6124701698082976
0.6353591160220995,0.7758620689655173,0.6251670484917907,0.43243243243243246,0.4444444444444444,0.6067458146226836
0.6373626373626373,0.7756849315068493,0.6264644746787603,0.43243243243243246,0.4444444444444444,0.6080158073048472
0.639344262295082,0.778878193261755,0.6314694796837654,0.4473684210526316,0.4594594594594595,0.6147871414058949
0.6413043478260869,0.7819033886085076,0.6362110633727175,0.46153846153846156,0.47368421052631576,0.6210673221272375
0.6432432432432432,0.7847734457323498,0.6407094889237747,0.47500000000000003,0.48717948717948717,0.6269102553044166
0.6451612903225806,0.7846677132391418,0.6419807044807045,0.47500000000000003,0.48717948717948717,0.6281879761161733
0.6470588235294118,0.7850831600831601,0.6432264957264957,0.47500000000000003,0.48717948717948717,0.6294351197621115
0.6436170212765957,0.7863175675675677,0.6391666666666667,0.4691358024691358,0.475,0.6241454989237465
0.6455026455026455,0.7901285431773236,0.6434349593495935,0.4819277108433735,0.4878048780487805,0.6297043392644692
0.6473684210526316,0.7905549189720085,0.6446560814618048,0.4819277108433735,0.4878048780487805,0.6309225301369542
0.6492146596858639,0.7909756097560975,0.6458532600031882,0.4819277108433735,0.4878048780487805,0.6321122854452599
0.6510416666666666,0.7946031746031745,0.6499183006535948,0.4941176470588235,0.5,0.6373365908351519
0.6528497409326425,0.7955692210659097,0.6510922330097088,0.4941176470588235,0.5,0.6385085174312584
0.654639175257732,0.7965225563909776,0.6522435897435898,0.4941176470588235,0.5,0.6396537433640062
0.6564102564102564,0.7999541003671972,0.6561195587358378,0.5057471264367817,0.5116279069767442,0.6445743501441944
0.6530612244897959,0.795029639762882,0.6540743816906608,0.5,0.5116279069767442,0.642521551687174
0.6548223350253807,0.7959830866807611,0.6552124469796694,0.5,0.5116279069767442,0.6436654736564394
0.6565656565656566,0.7969242310577644,0.6563292400202855,0.5,0.5116279069767442,0.6447840750103002
0.6582914572864321,0.7957662492546214,0.6574253517082974,0.5,0.5116279069767442,0.6458782003047779
0.66,0.7995337995337994,0.6611251402918069,0.5111111111111111,0.5227272727272727,0.6505154333490306
0.6616915422885572,0.8004487550665894,0.6622011398387545,0.5111111111111111,0.5227272727272727,0.6515935749966779
0.6633663366336634,0.8040339702760085,0.665736493374108,0.5217391304347825,0.5333333333333333,0.6559710143457433
